event_message,event_type,execution_id,function_id,id,level,timestamp
booted (time: 28ms),Boot,c77208fd-7dc1-4404-b601-e442d769f5f6,6085dae9-7976-41e8-b25a-5f270f869c5c,4e778290-a8bf-44b6-9658-a42296193269,log,1776945110654000
"Listening on http://localhost:9999/
",Log,95e31bf3-9913-4551-a2fd-92b4c279367d,6085dae9-7976-41e8-b25a-5f270f869c5c,ec8a5f2e-4243-42ea-85a7-3cb3e4936c25,info,1776945108923000
booted (time: 27ms),Boot,95e31bf3-9913-4551-a2fd-92b4c279367d,6085dae9-7976-41e8-b25a-5f270f869c5c,563223ab-be76-4225-8bd3-6ec0d82d0d10,log,1776945108919000
shutdown,Shutdown,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,ea0a30ad-45f3-43e4-aedf-f3f7032060c2,log,1776944691937000
shutdown,Shutdown,22508fee-c41c-40c7-aa9a-02646d2ffa81,6085dae9-7976-41e8-b25a-5f270f869c5c,59d5f476-c86c-43b8-a43c-65c16cf93e47,log,1776944691765000
"Gemini API error: 503 {
  ""error"": {
    ""code"": 503,
    ""message"": ""This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later."",
    ""status"": ""UNAVAILABLE""
  }
}

",Log,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,ed9f6f3a-cba8-4535-a680-81b4efcb5b60,error,1776944619419000
"Calling Gemini API...
",Log,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,badf3daa-0045-4854-b2ea-51a3c06742d2,info,1776944616926000
"Request received: {
  deskripsi: ""buatkan caption untuk ramdhan"",
  gaya_bahasa: ""friendly"",
  panjang_caption: ""sedang"",
  opsi_hashtag: ""seperlunya"",
  opsi_emoji: ""sedikit"",
  tujuan_caption: ""none""
}
",Log,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,5c7b78eb-1d5a-4fb8-9a04-e66e0fe346fa,info,1776944616926000
"Listening on http://localhost:9999/
",Log,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,f6155c4b-7908-4c00-ab90-2f27aa13eab6,info,1776944616923000
booted (time: 21ms),Boot,6ea74e6e-f0a7-476a-a1be-ee87ee13b8d2,6085dae9-7976-41e8-b25a-5f270f869c5c,7609c4e3-f1d3-4190-b571-49a5f7e3d18c,log,1776944616919000
"Listening on http://localhost:9999/
",Log,22508fee-c41c-40c7-aa9a-02646d2ffa81,6085dae9-7976-41e8-b25a-5f270f869c5c,cbfc712e-a3f4-4061-bfd0-9d2e96a9efcd,info,1776944616749000
booted (time: 27ms),Boot,22508fee-c41c-40c7-aa9a-02646d2ffa81,6085dae9-7976-41e8-b25a-5f270f869c5c,b70492b0-c3e9-4edb-b3f6-dc54a26ff307,log,1776944616744000
